,Unnamed: 0,first-author,first-author-gender,first-author-affiliation,last-author,last-author-gender,last-author-affiliation,title
0,0,Surya Ganguli,Male,Stanford,Haim Sompolinsky,Male,Hebrew University and Harvard University,Short-term memory in neuronal networks through dynamical compressed sensing.
1,1,Hal Daumé III,Male,Univ of Maryland / Microsoft Research,Avishek Saha,Male,Yahoo Labs,Co-regularization Based Semi-supervised Domain Adaptation.
2,2,Akshat Kumar,Male,"University of Massachusetts, Amherst",Shlomo Zilberstein,Male,Univ of Mass,MAP Estimation for Graphical Models by Likelihood Maximization.
3,3,Alan Fern,Male,Oregon State University,Prasad Tadepalli,Male,Oregon State University,A Computational Decision Theory for Interactive Assistants.
4,4,Deqing Sun,Male,Brown University,Michael J Black,Male,Max Planck Institute for Intelligent Systems,"Layered image motion with explicit occlusions, temporal consistency, and depth ordering."
5,5,J. Zico Kolter,Male,Carnegie Mellon University / Bosch Center for AI,Andrew Y Ng,Male,DeepLearning.AI,Energy Disaggregation via Discriminative Sparse Coding.
6,6,Ling Huang,Male,Intel,Mayur Naik,Male,Intel,Predicting Execution Time of Computer Programs Using Sparse Polynomial Regression.
7,7,Martin A Zinkevich,Male,Yahoo! Inc.,Lihong Li,Male,Amazon,Parallelized Stochastic Gradient Descent.
8,8,Abdeslam Boularias,Male,Max Planck Institute for Intelligent Systems,Brahim Chaib-draa,Male,Laval University,Bootstrapping Apprenticeship Learning.
9,9,Amir-massoud Farahmand,Male,Vector Institute,Csaba Szepesvari,Male,DeepMind / University of Alberta,Error Propagation for Approximate Policy and Value Iteration.
10,10,Paul L Ruvolo,Male,UC San Diego,javier r movellan,Male,university of california san diego,An Alternative to Low-level-Sychrony-Based Methods for Speech Detection.
11,11,Peter B Jones,Male,Massachusetts Institute of Technology,Sanjoy K Mitter,Male,Massachusetts Institute of Technology,Probabilistic Belief Revision with Structural Constraints.
12,12,Ulrike von Luxburg,Female,University of Tübingen,Matthias Hein,Male,University of Tübingen,Getting lost in space: Large sample analysis of the resistance distance.
13,13,HongJing Lu,Female,UCLA,Alan L Yuille,Male,UCLA,Functional form of motion priors in human motion perception.
14,14,Novi Quadrianto,Male,University of Sussex and HSE,James Petterson,Male,NICTA,Multitask Learning without Label Correspondences.
15,15,Issei Sato,Male,University of Tokyo,Hiroshi Nakagawa,Male,The University of Tokyo,Deterministic Single-Pass Algorithm for LDA.
16,16,Jose G Puertas,Male,FIAS,Jörg Lücke,Male,TU Berlin,The Maximal Causes of Natural Scenes are Edge Filters.
17,17,David Silver,Male,DeepMind,Joel Veness,Male,DeepMind,Monte-Carlo Planning in Large POMDPs.
18,18,Mohammad J Saberian,Male,UC San Diego,Nuno Vasconcelos,Male,UC San Diego,Boosting Classifier Cascades.
19,19,Kun Gai,Male,Alibaba group,Changshui Zhang,Male,Tsinghua University,Learning Kernels with Radiuses of Minimum Enclosing Balls.
20,20,Hongbo Zhou,Male,Southern Illinois University,Qiang Cheng,Male,Tsinghua University,Sufficient Conditions for Generating Group Level Sparsity in a Robust Minimax Framework.
21,21,Tao Qin,Male,Microsoft Research,Tie-Yan Liu,Male,Microsoft Research Asia,A New Probabilistic Model for Rank Aggregation.
22,22,Hado P van Hasselt,Male,Centrum Wiskunde & Informatica (CWI),Hado P van Hasselt,Male,Centrum Wiskunde & Informatica (CWI),Double Q-learning.
23,23,Grégoire Montavon,Male,TU Berlin,Klaus-Robert Müller,Male,TU Berlin,Layer-wise analysis of deep networks with Gaussian kernels.
24,24,George Dahl,Male,Google Brain,Geoffrey E Hinton,Male,Google & University of Toronto,Phone Recognition with the Mean-Covariance Restricted Boltzmann Machine.
25,25,Katya Scheinberg,Female,Cornell University,Donald Goldfarb,Male,Columbia University,Sparse Inverse Covariance Selection via Alternating Linearization Methods.
26,26,Seunghak Lee,Male,Carnegie Mellon University,Eric Xing,Male,Petuum Inc. /  Carnegie Mellon University,Adaptive Multi-Task Lasso: with Application to eQTL Detection.
27,27,Dmitry Pechyony,Male,NEC Labs,Vladimir Vapnik,Male,None,On the Theory of Learnining with Privileged Information.
28,28,Elaine A Corbett,Female,Northwestern University,Konrad Koerding,Male,None,Mixture of time-warped trajectory models for movement decoding.
29,29,Jacob D Abernethy,Male,University of Michigan,Manfred K. Warmuth,Male,Google Brain,Repeated Games against Budgeted Adversaries.
30,30,Han Liu,Male,Carnegie Mellon University,Larry Wasserman,Male,Carnegie Mellon University,Stability Approach to Regularization Selection (StARS) for High  Dimensional Graphical Models.
31,31,Martha White,Female,University of Alberta,Adam M White,Male,University of Alberta,Interval Estimation for Reinforcement-Learning Algorithms in Continuous-State Domains.
32,32,Serhat S Bucak,Male,Michigan State University,Anil K Jain,Male,Michigan State University,Multi-label Multiple Kernel Learning by Stochastic Approximation: Application to Visual Object Recognition.
33,33,Jonathan D Sorg,Male,University of Michigan,Richard L Lewis,Male,University of Michigan,Reward Design via Online Gradient Ascent.
34,34,Pierre J Garrigues,Male,"IQ Engines, Inc.",Bruno Olshausen,Male,Redwood Center/UC Berkeley,Group Sparse Coding with a Laplacian Scale Mixture Prior.
35,35,Yuzong Liu,Male,University of Washington,Eric C Leuthardt,Male,Washington University School of Medicine,Decoding Ipsilateral Finger Movements from ECoG Signals in Humans.
36,36,David Reichert,Male,DeepMind,Amos Storkey,Male,University of Edinburgh,Hallucinations in Charles Bonnet Syndrome Induced by Homeostasis: a Deep Boltzmann Machine Model.
37,37,Albert Xin Jiang,Male,University of British Columbia,Kevin Leyton-Brown,Male,University of British Columbia,Bayesian Action-Graph Games.
38,38,Ji Liu,Male,University Wisconsin-Madison,Jieping Ye,Male,Arizona State University,Multi-Stage Dantzig Selector.
39,39,Joscha T Schmiedt,Male,Ernst Strüngmann Institute (ESI) for Neuroscience in Cooperation with Max Planck Society,Klaus R Pawelzik,Male,Universität Bremen,Spike timing-dependent plasticity as dynamic filter.
40,40,Sridhar Mahadevan,Male,UMass Amherst,Bo Liu,Male,Auburn University,Basis Construction from Power Series Expansions of Value Functions.
41,41,David A McAllester,Male,TTI-Chicago,Joseph Keshet,Male,Bar-Ilan University,Direct Loss Minimization for Structured Prediction.
42,42,Christoph Sawade,Male,University of Potsdam,Tobias Scheffer,Male,Universität Potsdam,Active Estimation of F-Measures.
43,43,Gilbert Leung,Male,self,Kostas Tsioutsiouliklis,Male,Yahoo! Labs,Optimal Web-Scale Tiering as a Flow Problem.
44,44,James Petterson,Male,NICTA,Tiberio Caetano,Male,NICTA Canberra,Reverse Multi-Label Learning.
45,45,Konrad C Rawlik,Male,University of Edinburgh,Sethu Vijayakumar,Male,University of Edinburgh,An Approximate Inference Approach to Temporal Optimization in Optimal Control.
46,46,Sarah Filippi,Female,Imperial College London,Csaba Szepesvari,Male,DeepMind / University of Alberta,Parametric Bandits: The Generalized Linear Case.
47,47,Odalric-Ambrym Maillard,Male,INRIA,Remi Munos,Male,Google DeepMind,Scrambled Objects for Least-Squares Regression.
48,48,Shay Cohen,Male,Columbia University,Noah A Smith,Male,Carnegie Mellon University,Empirical Risk Minimization with Approximations of Probabilistic Grammars.
49,49,Danny Bickson,Male,Carnegie Mellon University,Carlos Guestrin,Male,University of Washington,Inference with Multivariate Heavy-Tails in Linear Models.
50,50,Achintya Kundu,Male,Indian Institute of Science,Aharon Ben-Tal,Male,None,Efficient algorithms for learning kernels from multiple similarity matrices with general convex loss functions.
51,51,Fabian L Wauthier,Male,Amazon,Michael Jordan,Male,UC Berkeley,Heavy-Tailed Process Priors for Selective Shrinkage.
52,52,Ernesto De Vito,Male,Universita' di Genova,Alessandro Toigo,Male,Politecnico di Milano,Spectral Regularization  for  Support Estimation.
53,53,Ni Lao,Male,Carnegie Mellon University,William Cohen,Male,Google AI,Efficient Relational Learning with Hidden Variable Detection.
54,54,Vladimir Kolmogorov,Male,University College London,Vladimir Kolmogorov,Male,University College London,Generalized roof duality and bisubmodular functions.
55,55,Aurelie C Lozano,Female,IBM Research,Vikas Sindhwani,Male,Google,Block Variable Selection in Multivariate Regression and High-dimensional Causal Inference.
56,56,Roger Luo,Male,Snap Inc.,Francesco Orabona,Male,Boston University,Learning from Candidate Labeling Sets.
57,57,Tian Lan,Male,Simon Fraser University,Greg Mori,Male,Borealis AI,Beyond Actions: Discriminative Models for Contextual Group Activities.
58,58,Wei Chen,Male,Chinese Academy of Sciences,Zhi-Ming Ma,Male,"Academy of Mathematics and Systems Science, Chinese Academy of Sciences",Two-Layer Generalization Analysis for Ranking Using Rademacher Average.
59,59,Stephen H Bach,Male,University of Maryland,Mark Maloof,Male,Georgetown University,A Bayesian Approach to Concept Drift.
60,60,Felix V Agakov,Male,University of Edinburgh,Amos Storkey,Male,University of Edinburgh,Sparse Instrumental Variables (SPIV) for Genome-Wide Studies.
61,61,Bo Thiesson,Male,Microsoft Research,Chong Wang,Male,ByteDance Inc.,Fast Large-scale Mixture Modeling with Component-specific Data Partitions.
62,62,Li-Jia Li,Female,Stanford University,Li Fei-Fei,Female,Stanford University,Object Bank: A High-Level Image Representation for Scene Classification & Semantic Feature Sparsification.
63,63,David J Weiss,Male,University of Pennsylvania,Ben Taskar,Male,University of Washington,Sidestepping Intractable Inference with Structured Ensemble Cascades.
64,64,Nebojsa Jojic,Male,Microsoft Research,Vittorio Murino,Male,Istituto Italiano di Tecnologia,Structural epitome: a way to summarize one’s visual experience.
65,65,Ariel Kleiner,Male,Google Research,Michael Jordan,Male,UC Berkeley,Random Conic Pursuit for Semidefinite Programming.
66,66,Ken Takiyama,Male,The University of Tokyo,Masato Okada,Male,The University of Tokyo / RIKEN BSI,Switching state space model for simultaneously estimating state transitions and nonstationary firing rates.
67,67,Matthias Broecheler,Male,University of Maryland CP,Lise Getoor,Female,UC Santa Cruz,Computing Marginal Distributions over Continuous Markov Networks for Statistical Relational Learning.
68,68,David Pal,Male,Google,Csaba Szepesvari,Male,DeepMind / University of Alberta,Estimation of Renyi Entropy and Mutual Information Based on Generalized Nearest-Neighbor Graphs.
69,69,Byron Boots,Male,University of Washington,Geoffrey Gordon,Male,MSR Montréal & CMU,Predictive State Temporal Difference Learning.
70,70,Chris Barber,Male,University of Wisconsin–Milwaukee,Paul Roebber,Male,UW Milwaukee,Auto-Regressive HMM Inference with Incomplete Data for Short-Horizon Wind Forecasting.
71,71,Javad Azimi,Male,Microsoft,Xiaoli Fern,Female,Oregon State University,Batch Bayesian Optimization via Simulation Matching.
72,72,Mario J Fritz,Male,MPI Informatics,Trevor Darrell,Male,UC Berkeley,Size Matters: Metric Visual Search Constraints from Monocular Metadata.
73,73,Hai-Son P Le,Male,Carnegie Mellon University,Ziv Bar-Joseph,Male,Carnegie Mellon University,Cross Species Expression Analysis using a Dirichlet Process Mixture Model with Latent Matchings.
74,74,Finale P Doshi-Velez,Female,Harvard,Josh Tenenbaum,Female,MIT,Nonparametric Bayesian Policy Priors for Reinforcement Learning.
75,75,Margareta Ackerman,Female,Florida State University,David R Loker,Female,University of Waterloo,Towards Property-Based Classification of Clustering Paradigms.
76,76,Jacob Bien,Male,Stanford University,Michael W Mahoney,Male,UC Berkeley,CUR from a Sparse Optimization Viewpoint.
77,77,Roland Memisevic,Male,Twenty Billion Neurons Inc.,Marc Pollefeys,Male,ETH Zurich,Gated Softmax Classification.
78,78,Yung-Kyun Noh,Male,Hanyang University,Daniel Lee,Male,Cornell Tech,Generative Local Metric Learning for Nearest Neighbor Classification.
